User-ID,Age,Age_cate,state,country,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Main_Title,Sub_Title
183,27.0,20-29,porto,portugal,8401422825,9,fahrenheit 451,ray bradburi,1950-1999,"plaza & amp jane editor , s.a .",fahrenheit 451,
80908,30.0,30-39,catalunya,spain,8440630794,7,cuentos del planeta tierra,arthur c. clark,1950-1999,edicion b,cuentos del planeta tierra,
242,37.0,30-39,baden-wuerttemberg,germany,3257203659,9,der illustrierte mann  erz   hlungen ,ray bradburi,2000-2009,diogen,der illustrierte mann  erz   hlungen ,
242,37.0,30-39,baden-wuerttemberg,germany,3257207522,10,der k   nig in gelb ,raymond chandler,1950-1999,diogen verlag,der k   nig in gelb ,
242,37.0,30-39,baden-wuerttemberg,germany,3257208626,8,fahrenheit 451,ray bradburi,1950-1999,distribook inc,fahrenheit 451,
11690,30.0,30-39,rheinland-pfalz,germany,3257208626,10,fahrenheit 451,ray bradburi,1950-1999,distribook inc,fahrenheit 451,
71739,34.0,30-39,rheinland-pfalz,germany,3257208626,8,fahrenheit 451,ray bradburi,1950-1999,distribook inc,fahrenheit 451,
208861,28.0,20-29,hessen,germany,3257208626,8,fahrenheit 451,ray bradburi,1950-1999,distribook inc,fahrenheit 451,
242,37.0,30-39,baden-wuerttemberg,germany,3257208669,9,das b   se kommt auf leisen sohlen ,ray bradburi,2000-2009,diogen,das b   se kommt auf leisen sohlen ,
242,37.0,30-39,baden-wuerttemberg,germany,3257210450,10,l   wenzahnwein  roman ,ray bradburi,1950-1999,diogen verlag,l   wenzahnwein  roman ,
242,37.0,30-39,baden-wuerttemberg,germany,3257212054,10,das kind von morgen  erz   hlungen ,ray bradburi,2000-2009,diogen verlag,das kind von morgen  erz   hlungen ,
242,37.0,30-39,baden-wuerttemberg,germany,3257214154,9,familientreffen  erz   hlungen ,ray bradburi,2000-2009,diogen verlag,familientreffen  erz   hlungen ,
242,37.0,30-39,baden-wuerttemberg,germany,3257216416,7,der tod kommt schnell in mexico  erz   hlungen ,ray bradburi,1950-1999,diogen verlag,der tod kommt schnell in mexico  erz   hlungen ,
35433,40.0,40-49,zürich,switzerland,3257233051,5,veronika deschliesst zu sterben   vernika decides to die,paolo coelho,2000-2009,distribook,veronika deschliesst zu sterben   vernika decides to die,
71728,49.0,40-49,valencia,spain,3257233051,5,veronika deschliesst zu sterben   vernika decides to die,paolo coelho,2000-2009,distribook,veronika deschliesst zu sterben   vernika decides to die,
172613,39.0,30-39,baden-wuerttemberg,germany,3257233051,8,veronika deschliesst zu sterben   vernika decides to die,paolo coelho,2000-2009,distribook,veronika deschliesst zu sterben   vernika decides to die,
222368,19.0,5-19,thueringen,germany,3257233051,10,veronika deschliesst zu sterben   vernika decides to die,paolo coelho,2000-2009,distribook,veronika deschliesst zu sterben   vernika decides to die,
41347,31.0,30-39,nordrhein-westfalen,germany,3453212150,8,die cappuccino  jahre  aus dem tagebuch des adrian mole ,sue townsend,2000-2009,heyn,die cappuccino  jahre  aus dem tagebuch des adrian mole ,
70238,26.0,20-29,bavaria,germany,3492045642,3,quersch   sse   downsize this ,michael moor,2000-2009,piper,quersch   sse   downsize this ,
162248,31.0,30-39,hessen,germany,3492045642,7,quersch   sse   downsize this ,michael moor,2000-2009,piper,quersch   sse   downsize this ,
175493,30.0,30-39,bayern,germany,3492045642,6,quersch   sse   downsize this ,michael moor,2000-2009,piper,quersch   sse   downsize this ,
35407,48.0,40-49,nordrhein-westfalen,germany,3499110695,9,neun erz   hlungen ,jerom d. saling,1950-1999,rowohlt tb .,neun erz   hlungen ,
242,37.0,30-39,baden-wuerttemberg,germany,3499151502,9,"hebt den dachbalken hoch, zimmerleute   seymour wird vorgestellt ",jerom d. saling,1950-1999,rowohlt tb .,"hebt den dachbalken hoch, zimmerleute   seymour wird vorgestellt ",
242,37.0,30-39,baden-wuerttemberg,germany,3570300099,6,"das intimleben des adrian mole, 13 3 4 jahre  cbt    ab 14 j   ",sue townsend,2000-2009,"bertelsmann , m ? â¼nchen","das intimleben des adrian mole, 13 3 4 jahre  cbt    ab 14 j   ",
152973,35.0,30-39,bayern,germany,3596292646,1,das buch der l   cherlichen liebe ,milan kundera,2000-2009,"fischer ( tb . ) , frankfurt",das buch der l   cherlichen liebe ,
254,24.0,20-29,minnesota,usa,037582345X,9,"the golden compass  his dark materials, book 1 ",philip pullman,2000-2009,knopf book for young reader,"the golden compass  his dark materials, book 1 ",
52011,37.0,30-39,ontario,canada,037582345X,10,"the golden compass  his dark materials, book 1 ",philip pullman,2000-2009,knopf book for young reader,"the golden compass  his dark materials, book 1 ",
123567,45.0,40-49,illinois,usa,037582345X,5,"the golden compass  his dark materials, book 1 ",philip pullman,2000-2009,knopf book for young reader,"the golden compass  his dark materials, book 1 ",
254,24.0,20-29,minnesota,usa,038097827X,8,the wolves in the walls,neil gaiman,2000-2009,harpercollin,the wolves in the walls,
12863,29.0,20-29,england,united kingdom,038097827X,8,the wolves in the walls,neil gaiman,2000-2009,harpercollin,the wolves in the walls,
275970,46.0,40-49,pennsylvania,usa,038097827X,10,the wolves in the walls,neil gaiman,2000-2009,harpercollin,the wolves in the walls,
254,24.0,20-29,minnesota,usa,1563895730,9,sandman: the dream hunters,neil gaiman,1950-1999,dc comic,sandman: the dream hunters,
55490,25.0,20-29,south dakota,usa,1563895730,10,sandman: the dream hunters,neil gaiman,1950-1999,dc comic,sandman: the dream hunters,
225379,24.0,20-29,nova scotia,canada,1563895730,5,sandman: the dream hunters,neil gaiman,1950-1999,dc comic,sandman: the dream hunters,
234765,28.0,20-29,sarawak,malaysia,1563895730,10,sandman: the dream hunters,neil gaiman,1950-1999,dc comic,sandman: the dream hunters,
268300,25.0,20-29,nova scotia,canada,1563895730,10,sandman: the dream hunters,neil gaiman,1950-1999,dc comic,sandman: the dream hunters,
254,24.0,20-29,minnesota,usa,1567310877,8,shout : the beatles in their generation,philip norman,1950-1999,mjf book,shout,the beatles in their generation
95359,33.0,30-39,west virginia,usa,1931081727,9,the devil you know,poppi z. brite,2000-2009,subterranean press,the devil you know,
142524,36.0,30-39,michigan,usa,1931081727,7,the devil you know,poppi z. brite,2000-2009,subterranean press,the devil you know,
388,35.0,30-39,tennessee,usa,1878424319,7,the four agreements: a practical guide to personal freedom,don miguel ruiz,1950-1999,amber-allen publish,the four agreements: a practical guide to personal freedom,
14638,33.0,30-39,languedoc roussillon,france,1878424319,6,the four agreements: a practical guide to personal freedom,don miguel ruiz,1950-1999,amber-allen publish,the four agreements: a practical guide to personal freedom,
30319,41.0,40-49,california,usa,1878424319,9,the four agreements: a practical guide to personal freedom,don miguel ruiz,1950-1999,amber-allen publish,the four agreements: a practical guide to personal freedom,
36907,39.0,30-39,ontario,canada,1878424319,10,the four agreements: a practical guide to personal freedom,don miguel ruiz,1950-1999,amber-allen publish,the four agreements: a practical guide to personal freedom,
39281,45.0,40-49,new jersey,usa,1878424319,8,the four agreements: a practical guide to personal freedom,don miguel ruiz,1950-1999,amber-allen publish,the four agreements: a practical guide to personal freedom,
61888,46.0,40-49,arizona,usa,1878424319,10,the four agreements: a practical guide to personal freedom,don miguel ruiz,1950-1999,amber-allen publish,the four agreements: a practical guide to personal freedom,
62862,47.0,40-49,connecticut,usa,1878424319,8,the four agreements: a practical guide to personal freedom,don miguel ruiz,1950-1999,amber-allen publish,the four agreements: a practical guide to personal freedom,
105517,28.0,20-29,alberta,canada,1878424319,2,the four agreements: a practical guide to personal freedom,don miguel ruiz,1950-1999,amber-allen publish,the four agreements: a practical guide to personal freedom,
106849,39.0,30-39,indiana,usa,1878424319,10,the four agreements: a practical guide to personal freedom,don miguel ruiz,1950-1999,amber-allen publish,the four agreements: a practical guide to personal freedom,
